beer_name,beer_id,brewery_id,Style,Category,Brewer,Address,City,State
Certified Organic India Pale Ale,185,481,American-Style Pale Ale,North American Ale,Eel River Brewing,1777 Alamar Way,Fortuna,California
#42 Cream Ale,5104,794,American-Style Cream Ale or Lager,Other Style,Listermann Brewing Company,1621 Dana Ave.,Cincinnati,Ohio
Sacramento Bock,5253,1090,Traditional German-Style Bock,German Lager,Sacramento Brewing Company,2713 El Paseo Lane,Sacramento,California
Capital U.S. Pale Ale,5351,338,American-Style Pale Ale,North American Ale,Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin
Barrel Aged Synapse ESB,5376,1250,Extra Special Bitter,British Ale,The Livery,190 5th Street,Benton Harbor,Michigan
Wild Wacky Wit,4760,882,Belgian-Style White,Belgian and French Ale,Moon River Brewing Company,21 W. Bay St.,Savannah,Georgia
Old Whiskers,4098,858,South German-Style Hefeweizen,German Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Dead Guy Ale,4172,1072,German-Style Heller Bock/Maibock,German Lager,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Michelob Golden Pilsner,4391,44,German-Style Pilsener,German Lager,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Iron Arm Belgian Style Wheat,4579,76,Belgian-Style White,Belgian and French Ale,Barley Creek Brewing,RR 1 Box 185,Tannersville,Pennsylvania
What the Helles Bock,2020,553,Traditional German-Style Bock,German Lager,Fratellos Restaurant and Brewery,4301 West Wisconsin,Appleton,Wisconsin
Red Amber Ale,2134,1279,American-Style Amber/Red Ale,North American Ale,Trailhead Brewing Company,921 South Riverside Drive,Saint Charles,Missouri
Porter,2197,854,Porter,Irish Ale,Mickey Finn's Brewery,412 North Milwaukee Avenue,Libertyville,Illinois
Capital Kloster Weizen,2228,338,South German-Style Hefeweizen,German Ale,Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin
Doppel Bock,2430,162,Traditional German-Style Bock,German Lager,Boundary Bay Brewery and Bistro,1107 Railroad Avenue,Bellingham,Washington
Capital Weizen Doppelbock,2635,338,South German-Style Weizenbock,German Ale,Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin
IPA,2844,1181,American-Style India Pale Ale,North American Ale,Sprecher Brewing,701 West Glendale Avenue,Glendale,Wisconsin
Best Brown,3516,1029,American-Style Brown Ale,North American Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Donner Party Porter,1714,520,Porter,Irish Ale,Fifty Fifty Brewing Co.,11197 Brockway Road,Truckee,California
Oktoberfest,1874,888,German-Style Oktoberfest,German Lager,Moosejaw Pizza & Dells Brewing Company,110 Wisconsin Dells Parkway South,Wisconsin Dells,Wisconsin
Lust,4833,858,Belgian-Style Dark Strong Ale,Belgian and French Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Zoomer,4848,908,Light American Wheat Ale or Lager,Other Style,New Holland Brewing Company,66 East Eighth Street,Holland,Michigan
Rye Squared,4873,1243,Imperial or Double India Pale Ale,North American Ale,Terrapin Beer Company,196 Alps Road,Athens,Georgia
Apple Ale,2095,941,Light American Wheat Ale or Lager,Other Style,Old Hat Brewery,114 North Main Street,Lawton,Michigan
Red Lager,2178,708,American-Style Lager,North American Lager,Jacob Leinenkugel Brewing Company,1 Jefferson Avenue,Chippewa Falls,Wisconsin
Cherokee Red Ale,2405,330,American-Style Amber/Red Ale,North American Ale,Calhoun's Microbrewery,6515 Kingston Pike,Knoxville,Tennessee
Bombardier Brown,2413,1069,American-Style Brown Ale,North American Ale,Rocky River Brewing,21290 Center Ridge Road,Rocky River,Ohio
Hazelnut Brown Nectar,4179,1072,American-Style Brown Ale,North American Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Golden Frog,4203,1072,Other Belgian-Style Ales,Belgian and French Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Trafalgar IPA,4212,1072,American-Style India Pale Ale,North American Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Labrador Lager,4224,1255,American-Style Lager,North American Lager,Thirsty Dog Brewing,529 Grant St. Suite B,Akron,Ohio
Bud Light Lime,4379,44,American-Style Light Lager,North American Lager,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Maple Nut Brown Ale Ale,31,1271,American-Style Brown Ale,North American Ale,Tommyknocker Brewery and Pub,1401 Miner Street,Idaho Springs,Colorado
Schwarzbier,286,588,German-Style Schwarzbier,German Lager,Gordon Biersch Brewing,357 East Taylor Street,San Jose,California
N.W. Pale Ale,706,1296,American-Style Pale Ale,North American Ale,Twin Rivers Brewing,104 North Lewis Street,Monroe,Washington
Oktoberfest,3598,1259,German-Style Oktoberfest,German Lager,Thomas Kemper Brewing,91 South Royal Brougham,Seattle,Washington
Quad,3939,1352,Belgian-Style Quadrupel,Belgian and French Ale,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania
Prohibition Pale Ale,3326,1177,American-Style Pale Ale,North American Ale,Speakeasy Ales and Lagers,1195-A Evans Avenue,San Francisco,California
Samuel Adams Blackberry Witbier,5116,157,Belgian-Style White,Belgian and French Ale,Boston Beer Company,30 Germania Street,Boston,Massachusetts
Oak Aged Unearthly Imperial Pale Ale,5177,1173,Imperial or Double India Pale Ale,North American Ale,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
Trifecta Belgian Style Tripel,5192,520,Belgian-Style Tripel,Belgian and French Ale,Fifty Fifty Brewing Co.,11197 Brockway Road,Truckee,California
Oak Creek Micro Light,5193,929,German-Style Pilsener,German Lager,Oak Creek Brewery,2050 Yavapai Dr,Sedona,Arizona
Uberhoppy Imperial IPA,5286,1320,Imperial or Double India Pale Ale,North American Ale,Valley Brewing Company,1950 W. Fremont St.,Stockton,California
Bob's '47 Oktoberfest,5303,161,German-Style Oktoberfest,German Lager,Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri
Nelson,5805,29,American-Style India Pale Ale,North American Ale,Alpine Beer Company,2351 Alpine Boulevard,Alpine,California
West Bank Pub Ale,1175,869,Classic English-Style Pale Ale,British Ale,Minneapolis Town Hall Brewery,1430 Washington Avenue South,Minneapolis,Minnesota
Torrey Pines IPA,1271,936,American-Style India Pale Ale,North American Ale,Oggi's Pizza and Brewing - Vista,425 South Melrose Drive,Vista,California
Bridgeport India Pale Ale,1362,255,American-Style India Pale Ale,North American Ale,BridgePort Brewing,1313 NW Marshall Street,Portland,Oregon
Train Wreck IPA,298,1004,American-Style India Pale Ale,North American Ale,Pleasanton Main Street Brewery,830 Main Street,Pleasanton,California
Red Sky at Night,3994,385,French & Belgian-Style Saison,Belgian and French Ale,Clipper City Brewing Co.,4615-B Hollins Ferry Road,Baltimore,Maryland
Double Dog Double Pale Ale,4040,540,Imperial or Double India Pale Ale,North American Ale,Flying Dog Brewery,2401 Blake St.,Denver,Colorado
Celtic Rose,4046,771,Irish-Style Red Ale,Irish Ale,Lancaster Brewing Co.,302 N. Plum St.,Lancaster,Pennsylvania
Dark Lager,4294,328,American-Style Lager,North American Lager,Caldera Brewing,540 Clover Lane,Ashland,Oregon
Gordon Biersch Czech Lager,4342,588,German-Style Pilsener,German Lager,Gordon Biersch Brewing,357 East Taylor Street,San Jose,California
Misfit Red,4489,470,American-Style Amber/Red Ale,North American Ale,DuClaw,901 S. Bond St.,Baltimore,Maryland
Mountaineer Maibock,4580,76,German-Style Heller Bock/Maibock,German Lager,Barley Creek Brewing,RR 1 Box 185,Tannersville,Pennsylvania
Richbrau Oatmeal Stout,5228,1055,Oatmeal Stout,British Ale,Richbrau Brewing Company,1214 East Cary St,Richmond,Virginia
South County American Ale,5378,1168,American-Style Amber/Red Ale,North American Ale,South County Brewing Co.,104 Mill St.,Fawn Grove,Pennsylvania
Viszolay Belgian,5538,1108,Belgian-Style Dubbel,Belgian and French Ale,Santa Fe Brewing Company,35 Fire Place,Santa Fe,New Mexico
Terrapin Rye Pale Ale,5591,1243,American-Style Pale Ale,North American Ale,Terrapin Beer Company,196 Alps Road,Athens,Georgia
Petrified Porter,5602,1015,Porter,Irish Ale,Prescott Brewing Company,130 W Gurley St,Prescott,Arizona
Free Loader Double Red IPA,5777,858,Imperial or Double India Pale Ale,North American Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Sly Rye Porter,5884,1391,Porter,North American Ale,Yazoo Brewing,910 Division St,Nashville,Tennessee
Anniversary Maibock,3800,45,German-Style Heller Bock/Maibock,German Lager,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Pull Chain Pail Ale,2847,867,American-Style Pale Ale,North American Ale,Milwaukee Ale House,233 North Water Street,Milwaukee,Wisconsin
Half in the Bagpipe,4563,35,Scotch Ale,British Ale,Amherst Brewing Company,24 North Pleasant Street,Amherst,Massachusetts
The Beast Grand Cru,1020,62,Belgian-Style Dark Strong Ale,Belgian and French Ale,Avery Brewing Company,5763 Arapahoe Avenue,Boulder,Colorado
Grand Marais Pale Ale,1183,610,American-Style Pale Ale,North American Ale,Green Mill Brewing - Saint Paul,57 Hamline Avenue South,Saint Paul,Minnesota
Black River Brown,1744,802,American-Style Brown Ale,North American Ale,Long Valley Pub & Brewery,1 Fairmount Road,Long Valley,New Jersey
Octoberfest,1855,1280,German-Style Oktoberfest,German Lager,Trap Rock Restaurant and Brewery,279 Springfield Avenue,Berkeley Heights,New Jersey
HopFish IPA,3956,541,American-Style India Pale Ale,North American Ale,Flying Fish Brewing Company,1940 Olney Avenue,Cherry Hill,New Jersey
Gonzo Imperial Porter,4001,540,Porter,Irish Ale,Flying Dog Brewery,2401 Blake St.,Denver,Colorado
Anchor Summer Beer,4428,39,Light American Wheat Ale or Lager,Other Style,Anchor Brewing,1705 Mariposa Street,San Francisco,California
Strawberry Harvest Lager,4476,10,Fruit Beer,Other Style,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana
Blackberry Ale,4478,530,American-Style Pale Ale,North American Ale,Flat Branch Pub & Brewing,115 S. Fifth St.,Columbia,Missouri
Dam Straight Lager,2321,450,American-Style Lager,North American Lager,Dillon Dam Brewery,100 Little Dam Road,Dillon,Colorado
Jasper Lyte,2589,712,American-Style Pale Ale,North American Ale,Jasper Ridge Brewery,1075 Country Lane,Ishpeming,Michigan
Alt,2903,56,American-Style Brown Ale,North American Ale,Atwater Block Brewing,237 Joseph Campau Street,Detroit,Michigan
Wee Heavy Winter Ale,415,623,Scotch Ale,British Ale,Hale's Ales #3,4301 Leary Way NW,Seattle,Washington
Pale Ale,701,984,American-Style Pale Ale,North American Ale,Pike Pub and Brewery,1415 First Avenue,Seattle,Washington
Weisse,702,984,American-Style Lager,North American Lager,Pike Pub and Brewery,1415 First Avenue,Seattle,Washington
Rahr's Red,5025,1038,American-Style Amber/Red Ale,North American Ale,Rahr & Sons Brewing Company,701 Galveston Ave,Fortworth,Texas
Chico Estate Harvest Ale,5065,1142,American-Style India Pale Ale,North American Ale,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California
Captain Selin's Cream,5070,1128,American-Style Cream Ale or Lager,Other Style,Selin's Grove Brewing Co.,121 North Market St.,Selinsgrove,Pennsylvania
Greensburg Lager,5094,1049,American-Style Lager,North American Lager,Red Star Brewery & Grille,101 Ehalt St.,Greensburg,Pennsylvania
Oaktoberfest,5282,797,German-Style Oktoberfest,German Lager,Live Oak Brewing,3301-B East Fifth Street,Austin,Texas
Blackened Voodoo,5648,454,American-Style Lager,North American Lager,Dixie Brewing,2401 Tulane Avenue,New Orleans,Louisiana
Duet,5804,29,American-Style India Pale Ale,North American Ale,Alpine Beer Company,2351 Alpine Boulevard,Alpine,California
471 IPA,5828,236,Imperial or Double India Pale Ale,North American Ale,Breckenridge Brewery,471 Kalamath Street,Denver,Colorado
Aussie Lager,1870,310,American-Style Lager,North American Lager,Brown Street Brewery,16 North Brown Street,Rhinelander,Wisconsin
Dragonslayer,2028,857,American-Style Imperial Stout,North American Ale,Middle Ages Brewing,120 Wilkinson Street,Syracuse,New York
Whose Ear? Red Ale,2162,77,American-Style Amber/Red Ale,North American Ale,Barley Island Brewing,639 Conner Street,Noblesville,Indiana
Whiskey Stout,2470,132,American-Style Stout,North American Ale,"BJ's Pizza, Grill, and Brewery - Jantzen Beach",12105 North Center Avenue,Portland,Oregon
Genesee Cream Ale,2773,656,American-Style Lager,North American Lager,High Falls Brewing,445 St.Paul Street,Rochester,New York
Sheepshead Stout,2846,867,American-Style Stout,North American Ale,Milwaukee Ale House,233 North Water Street,Milwaukee,Wisconsin
Nut Cracker Ale,71,161,Winter Warmer,Other Style,Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri
EOS Hefeweizen,99,901,South German-Style Hefeweizen,German Ale,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska
Nightwatch Dark Ale,668,829,Porter,Irish Ale,Maritime Pacific Brewing,1514 NW Leary Way,Seattle,Washington
Yellowjacket Pale Ale,745,1151,American-Style Pale Ale,North American Ale,Skagit River Brewing,404 South Third Street,Mount Vernon,Washington
Stout,860,1003,American-Style Stout,North American Ale,Platte Valley Brewing,14 East Railroad,Kearney,Nebraska
Railyard Ale,4036,1316,American-Style Pale Ale,North American Ale,Upstream Brewing Old Market,514 South Eleventh Street,Omaha,Nebraska
Duveneck's Dortmunder,4318,83,American-Style Lager,North American Lager,Barrel House Brewing Co.,544B W. Liberty St.,Cincinnati,Ohio
Bare Knuckle Stout,4381,44,American-Style Stout,North American Ale,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Saranac Season's Best,4608,512,American-Style Lager,North American Lager,F.X. Matt Brewing,811 Edward Street,Utica,New York
Cask Hefe,4658,90,South German-Style Hefeweizen,German Ale,"BBC Brewing Co., LLC",636 East Main Street,Louisville,Kentucky
Druid Fluid,4724,857,American-Style Barley Wine Ale,North American Ale,Middle Ages Brewing,120 Wilkinson Street,Syracuse,New York
Arthur's Mild Ale,4752,960,English-Style Pale Mild Ale,British Ale,Otto's Pub and Brewery,2105 N. Atherton St.,State College,Pennsylvania
Poe Paddy Porter,5082,490,Porter,Irish Ale,Elk Creek Cafe and Aleworks,100 West Main Street PO Box 432,Millheim,Pennsylvania
Canvas Back American Pale Ale,5092,1049,American-Style Pale Ale,North American Ale,Red Star Brewery & Grille,101 Ehalt St.,Greensburg,Pennsylvania
Scratch #20 2009 Apollo Imperial Ale,5570,1286,Imperial or Double India Pale Ale,North American Ale,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
Andygator,5627,10,German-Style Doppelbock,German Lager,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana
Pale Ale,5882,1391,American-Style Strong Pale Ale,North American Ale,Yazoo Brewing,910 Division St,Nashville,Tennessee
Strawberry,5911,10,Fruit Beer,Other Style,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana
Old Backus Barleywine 1997,3097,556,American-Style Barley Wine Ale,North American Ale,Free State Brewing,636 Massachusetts,Lawrence,Kansas
Marzen Lager,1028,942,German-Style Oktoberfest,German Lager,Olde Main Brewing,316 Main Street,Ames,Iowa
Sweet Spot Hefe,1274,936,South German-Style Hefeweizen,German Ale,Oggi's Pizza and Brewing - Vista,425 South Melrose Drive,Vista,California
Voyageur Extra Pale Ale,1314,710,American-Style Pale Ale,North American Ale,James Page Brewing,1500 Jackson Street,Minneapolis,Minnesota
Lager,1604,1386,American-Style Lager,North American Lager,Zea Rotisserie and Brewery,1525 St. Charles Avenue,New Orleans,Louisiana
Bagpiper's Scottish Ale,4987,976,Scotch Ale,British Ale,Pennichuck Brewing Company,"127 Elm St., Unit C",Milford,New Hampshire
Oktoberfest,5042,259,American-Style Lager,North American Lager,Brooklyn Brewery,79 North Eleventh Street,Brooklyn,New York
Baracktoberfest,5184,1092,German-Style Oktoberfest,German Lager,Saint Louis Brewery / Schlafy Tap Room,2100 Locust Street,Saint Louis,Missouri
Hopworks IPA,5264,678,American-Style India Pale Ale,North American Ale,Hopworks Urban Brewery,2944 SE Powell Blvd,Portland,Oregon
Trail Ridge Red,5276,509,American-Style Amber/Red Ale,North American Ale,Estes Park Brewery,470 Prospect Village Dr.,Estes Park,Colorado
Crooked Tree IPA,5406,426,American-Style India Pale Ale,North American Ale,Dark Horse Brewing Co.,511 S. Kalamazoo Ave.,Marshall,Michigan
Apocalypse Cow,5555,1260,Imperial or Double India Pale Ale,North American Ale,Three Floyds Brewing,9750 Indiana Parkway,Munster,Indiana
Berserker Imperial Stout,5683,858,American-Style Imperial Stout,North American Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Whitetail Golden Ale,5686,1062,Golden or Blonde Ale,North American Ale,Rock Art Brewery,254 Wilkins Street,Morrisville,Vermont
Lilja's Hop Nest Monster,5757,1103,American-Style India Pale Ale,North American Ale,Sand Creek Brewing Company,320 Pierce St,Black River Falls,Wisconsin
Pirate's Porter,4855,1219,Dark American-Belgo-Style Ale,North American Ale,Sullivan's Black Forest Brew Haus & Grill,281 Heinlein Strasse,Frankenmuth,Michigan
Wicked Springfest,3291,978,German-Style Heller Bock/Maibock,German Lager,Pete's Brewing,14800 San Pedro Avenue,San Antonio,Texas
Summer Brau,3519,1029,American-Style Lager,North American Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Kenziger,3965,981,American-Style Pale Ale,North American Ale,Philadelphia Brewing Co,2423 Amber St,Philadelphia,Pennsylvania
